stateSize,linear,mixed,z3
1,37,14,116
2,3,18,48
4,3,5,71
1,1,17,34
2,1,2,38
1,1,10,33
2,1,2,37
1,2,17,33
2,4,8,40
4,2,3,63
1,1,10,34
2,3,17,41
3,2,20,44
6,2,26,55
7,3,22,69
10,4,27,138
11,5,55,303
12,8,58,332
16,7,44,650
3,1,32,38
6,2,17,55
7,3,15,65
10,4,30,137
13,4,42,122
14,8,61,201
17,5,19,250
3,2,14,39
4,2,41,52
7,2,15,62
8,2,34,66
9,2,33,75
12,4,51,113
13,8,61,161
17,5,46,281
3,3,8,42
4,2,7,48
5,2,54,60
8,4,38,116
11,3,45,116
12,3,47,150
16,6,34,751
3,4,13,40
5,5,15,44
7,2,48,54
10,3,49,107
11,3,40,264
12,7,59,156
16,5,21,571
3,1,15,34
6,2,8,42
8,2,17,55
12,3,26,115
13,3,53,114
14,8,53,147
17,6,31,218
3,2,17,38
4,1,35,49
7,2,25,64
8,3,16,72
11,3,23,214
12,6,59,116
13,8,43,178
15,5,21,540
3,1,16,37
4,2,15,42
7,2,18,55
8,2,41,64
9,3,20,68
12,4,51,122
13,6,36,175
15,4,23,480
3,4,13,35
4,2,8,41
5,2,45,53
6,2,42,64
9,3,31,429
12,4,41,293
15,4,27,191
3,1,15,43
6,2,34,61
9,2,19,62
14,3,45,301
15,4,41,409
18,4,26,198
22,6,41,1003
3,2,17,40
4,2,45,55
7,2,18,54
8,2,16,59
9,2,19,60
12,4,35,113
13,3,57,417
15,4,32,199
3,1,14,41
6,2,31,57
7,3,43,68
10,3,15,87
15,5,43,368
18,5,29,485
22,7,145,830
23,7,20,810
3,1,18,35
4,2,33,42
6,1,15,55
7,2,16,62
10,3,32,145
12,4,31,367
15,4,11,173
1,1,10,24
2,1,26,29
3,1,12,33
5,1,3,45
1,0,11,27
2,2,17,32
3,2,5,30
1,1,12,32
2,1,18,35
3,1,5,36
1,0,14,32
2,1,9,35
3,1,5,36
6,2,21,60
8,3,36,88
